ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,16.02.2026 – 22.02.2026,23.02.2026 – 01.03.2026,02.03.2026 – 08.03.2026,09.03.2026 – 15.03.2026,16.03.2026 – 22.03.2026,23.03.2026 – 29.03.2026,30.03.2026 – 05.04.2026,06.04.2026 – 12.04.2026,13.04.2026 – 19.04.2026,20.04.2026 – 26.04.2026,27.04.2026 – 03.05.2026,04.05.2026 – 10.05.2026,11.05.2026 – 17.05.2026,18.05.2026 – 24.05.2026,25.05.2026 – 31.05.2026,01.06.2026 – 07.06.2026,08.06.2026 – 14.06.2026,15.06.2026 – 21.06.2026,22.06.2026 – 28.06.2026,29.06.2026 – 05.07.2026,06.07.2026 – 12.07.2026,13.07.2026 – 19.07.2026,20.07.2026 – 26.07.2026,27.07.2026 – 02.08.2026,03.08.2026 – 09.08.2026,10.08.2026 – 16.08.2026,17.08.2026 – 23.08.2026,24.08.2026 – 30.08.2026,31.08.2026 – 06.09.2026,07.09.2026 – 13.09.2026,14.09.2026 – 20.09.2026,УКУПНО
ЈАГОДИНА - ГРАД,Брисање боравишта интерно расељеног лица,0,113,122,190,25,0,0,0,0,0,1,1,1,0,3,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,7,471
ЈАГОДИНА - ГРАД,Брисање по основу губитка пословне способности,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,8
ЈАГОДИНА - ГРАД,Брисање по основу одјаве пребивалишта,12,10,15,5,9,6,13,18,13,7,6,11,8,16,10,9,13,9,17,9,6,8,10,12,12,7,10,8,6,22,35,352
ЈАГОДИНА - ГРАД,Брисање по основу смрти лица,15,27,18,15,21,28,23,14,17,15,12,13,17,19,22,20,17,13,23,15,17,15,18,14,15,19,13,15,16,18,16,540
ЈАГОДИНА - ГРАД,Брисање по службеној дужности,0,6,9,2,2,0,0,0,0,0,0,1,2,10,0,1,1,12,23,1,0,5,1,7,0,1,5,9,6,9,4,117
ЈАГОДИНА - ГРАД,Потврда о изборном праву,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ЈАГОДИНА - ГРАД,Потврда о упису у бирачки списак,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
ЈАГОДИНА - ГРАД,Промена адресе боравишта интерно расељеног лица,1,2,2,1,2,1,0,2,1,0,2,1,0,0,2,0,0,0,3,1,0,0,2,0,0,1,0,0,2,1,1,28
ЈАГОДИНА - ГРАД,Промена адресе пребивалишта,153,321,119,172,180,155,149,168,117,160,194,208,135,150,130,105,135,147,148,97,116,118,119,140,125,124,126,120,83,130,136,4480
ЈАГОДИНА - ГРАД,Промена гласања по месту боравишта у иностранству,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
